SN,ProjectName,Registration Number,Authorised Name,Promoter Name,Project Type,District,Tehsil,Approved Date,Proposed End Date,Extended Proposed End Date,Website,View Certificate,Details,Map 
"
                                                                776 
                                                            ",KRISHNAYAN (PHASE -I &II),"
 **
PCGRERA200918000773
",SHASHI BHUSAN SHUKLA,SHUKLA BUILDERS,Plotted Development,RAIPUR,BALODA BAZAR,20 Sep 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                777 
                                                            ",COMPOSITE HOUSING SCHEME KHARUN GREENS KUMHARI,"
 **
PCGRERA200918000774
",EXECUTIVE ENGINEER,CHHATTISGARH HOUSING BOARD DIVISION-DURG,Group Housing,DURG,PATAN,20 Sep 2018,"
                                                                30 May 2022
                                                            ",30 Nov 2022,"


","
 
","
 
","
"
"
                                                                778 
                                                            ",MARUTI RESIDENCY,"
 **
PCGRERA200918000775
",PURSHOTTAM DEWANGAN,MARUTI TOWNSHIP,Plotted Development,JANJGIR CHAMPA,CHAMPA,20 Sep 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                779 
                                                            ",MAHAVIR ELITE,"
PCGRERA200918000776
",VINOD KUMAR JAIN,MAHAVIR BUILDERS & PROMOTER,Plotted Development,BILASPUR,BILASPUR,20 Sep 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                780 
                                                            ",SARVODAYA VIHAR,"
PCGRERA200918000777
",JAI KUMAR SINGHAI,SARVODAY BUILDER & DEVELOPER,Plotted Development,BILASPUR,PENDRAROAD,20 Sep 2018,"
                                                                01 Jun 2021
                                                            ",28 Feb 2023,"


","
 
","
 
","
 
"
"
                                                                781 
                                                            ",INDU IMAGICA PHASE -II,"
PCGRERA200918000778
",MAHESH KUMAR AGRAWAL,INDU ENTERPRISES,Plotted Development,BILASPUR,TAKHATPUR,20 Sep 2018,"
                                                                30 Sep 2024
                                                            ",30 Jun 2025,"


","
 
","
 
","
 
"
"
                                                                782 
                                                            ",GULAB NANO,"
 **
PCGRERA200918000779
",DINESH SUNDRANI,SANT GULAB BABA CONSTRUCTION COMPANY,Group Housing,RAIPUR,RAIPUR,20 Sep 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 
","
 
","
"
"
                                                                783 
                                                            ",SWASTIK SMART CITY,"
PCGRERA220918000780
",SUNIL SAHU,SWASTIK REALTIES,Plotted Development,DURG,PATAN,22 Sep 2018,"
                                                                09 Sep 2022
                                                            ",09 Jun 2023,"


","
 
","
 
","
 
"
"
                                                                784 
                                                            ",VIMLA VIHAR,"
 **
PCGRERA250918000781
",LALITA DEVI LUNIA,LALITA DEVI LUNIA,Group Housing,RAIPUR,RAIPUR,25 Sep 2018,"
                                                                30 May 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                785 
                                                            ",RADHA FLORENCE EMPIRE,"
PCGRERA250918000782
",MAHESH SHARMA,SRS FORTUNE ESTATE AND DEVELOPERS PVT. LTD.,Plotted Development,RAIPUR,RAIPUR,25 Sep 2018,"
                                                                31 Dec 2021
                                                            ",30 Sep 2022,"


","
 
","
 
","
 
"
"
                                                                786 
                                                            ",GARDEN CITY PHASE II,"
 **
PCGRERA270918000783
",PAWAN BOHRA,PARAS INFRACON,Plotted Development,RAJNANDGAON,RAJNANDGAON,27 Sep 2018,"
                                                                30 Jun 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                787 
                                                            ",KRISHNA'S PARADISE PHASE - II,"
 **
PCGRERA270918000784
",SUNIL KUMAR TAPARIA,SHREE KRISHNA BUILDERS,Group Housing,RAIPUR,RAIPUR,27 Sep 2018,"
                                                                31 Dec 2025
                                                            ",30 Sep 2026,"


","
 
","
 
","
 
"
"
                                                                788 
                                                            ","LAS VISTA, PHASE - I","
PCGRERA270918000785
",PRITPAL SINGH BINDRA,AMRIT HOMES PRIVATE LIMITED,Plotted Development,RAIPUR,RAIPUR,27 Sep 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                789 
                                                            ","LAS VISTA, PHASE - II","
PCGRERA280918000787
",PRITPAL SINGH BINDRA,AMRIT HOMES PRIVATE LIMITED,Plotted Development,RAIPUR,RAIPUR,28 Sep 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                790 
                                                            ",AMALTAS PURAM (PHASE -1),"
 **
PCGRERA290918000788
",SHABNAM CHOUBEYU,PRAYAS CREATORS DEVELOPERS PRAMOTERS,Plotted Development,DHAMTARI,DHAMTARI,29 Sep 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                791 
                                                            ",THE PARKSYDE PHASE - II,"
PCGRERA290918000789
",BASANT KUMAR JAIN,RISHABH BUILDTECH INDIA PRIVATE LIMITED,Group Housing,RAIPUR,RAIPUR,29 Sep 2018,"
                                                                30 Sep 2022
                                                            ",30 Jun 2023,"


","
 
","
 
","
 
"
"
                                                                792 
                                                            ",THE PARKSYDE PHASE - III,"
PCGRERA290918000790
",BASANT KUMAR JAIN,RISHABH BUILDTECH INDIA PRIVATE LIMITED,Group Housing,RAIPUR,RAIPUR,29 Sep 2018,"
                                                                30 Sep 2023
                                                            ",30 Jun 2024,"


","
 
","
 
","
 
"
"
                                                                793 
                                                            ",DEVKI VIHAR,"
PCGRERA041018000791
",SUMIT MISHRA,URJA PROPERTIES PVT.LTD,Group Housing,BASTAR,JAGDALPUR,04 Oct 2018,"
                                                                31 Oct 2023
                                                            ",30 Jul 2024,"


","
 
","
 
","
 
"
"
                                                                794 
                                                            ",JEEVAN PARISAR,"
PCGRERA051018000792
",RAMRATAN SAHU,BHARAT GRIH NIRMAN SAHKARI SAMITI MARYADIT,Commercial,RAIPUR,RAIPUR,05 Oct 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                795 
                                                            ","KRISHNAYAN, PHASE - II","
 **
PCGRERA051018000793
",SHASHI BHUSAN SHUKLA,SHUKLA BUILDERS,Plotted Development,RAIPUR,BALODA BAZAR,05 Oct 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                796 
                                                            ",LAKE TOWN,"
PCGRERA051018000794
",ASHISH GUPTA,SURYA & SARITA BUILDERS AND DEVELOPERS,Plotted Development,BILASPUR,BILASPUR,05 Oct 2018,"
                                                                31 May 2020
                                                            ",30 Nov 2020,"


","
 Expired
","
 
","
 
"
"
                                                                797 
                                                            ",RAM RAMA RESIDENCY,"
PCGRERA051018000795
",VIJAYA LAKSHMI SHARMA,VIJAYA LAKSHMI SHARMA,Plotted Development,RAIPUR,RAIPUR,05 Oct 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 Expired
","
 
","
"
"
                                                                798 
                                                            ",AVIVA GREEN CITY,"
 **
PCGRERA051018000796
",MOHAMMED INAMULLAH,DAMODAR PARK,Group Housing,RAIPUR,RAIPUR,05 Oct 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                799 
                                                            ",AAKASH GANGA ENCLAVE,"
PCGRERA051018000797
",SANJEEV ADEPWAR,AAROHI BUILDERS AND LAND DEVELOPERS,Plotted Development,DHAMTARI,DHAMTARI,05 Oct 2018,"
                                                                30 Jul 2023
                                                            ",30 Apr 2024,"


","
 
","
 
","
 
"
"
                                                                800 
                                                            ",HUMMING COTERIE,"
 **
PCGRERA051018000798
",ATUL AGRAWAL,AMULYA REALCON LLP,Plotted Development,RAIPUR,RAIPUR,05 Oct 2018,"
                                                                31 Mar 2021
                                                            ",30 Dec 2021,"


","
 
","
 
","
 
"
"
                                                                801 
                                                            ",ASK CITY,"
PCGRERA051018000799
",ANURAG NATHANI,ASK BHOOMI DEVELOPERS PVT. LTD.,Plotted Development,RAIPUR,ABHANPUR,05 Oct 2018,"
                                                                31 Dec 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                802 
                                                            ",GALAXY THE MALL,"
 **
PCGRERA051018000800
",SUNIL KUMAR AGRAWAL,MAA VAISHNO PROJECTS,Commercial,RAIGARH,RAIGARH,05 Oct 2018,"
                                                                30 Jun 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                803 
                                                            ",ASHIRWAD APARTMENT,"
PCGRERA151018000801
",DHAVAL PATEL,R N REALTIES LLP,Group Housing,DURG,DURG,15 Oct 2018,"
                                                                31 May 2021
                                                            ",28 Feb 2023,"


","
 
","
 
","
 
"
"
                                                                804 
                                                            ",VASUNDHARA SUN CITY -2,"
 **
PCGRERA151018000802
",IRSHAD KHAN,VASUNDHARA BUILDERS,Group Housing,SURGUJA,AMBIKAPUR,15 Oct 2018,"
                                                                30 Jun 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                805 
                                                            ",ROYAL RESIDENCY PHASE - III,"
PCGRERA151018000803
",NASIM KHAN, ALISHA BUILDERS,Group Housing,BILASPUR,BILASPUR,15 Oct 2018,"
                                                                09 Mar 2022
                                                            ",09 Dec 2022,"


","
 
","
 
","
 
"
"
                                                                806 
                                                            ",GULMOHAR PARK,"
 **
PCGRERA151018000804
",ISMAIL MOHAMMED,ANSONS BUILDCON,Plotted Development,RAIPUR,RAIPUR,15 Oct 2018,"
                                                                31 Jul 2021
                                                            ",31 Jan 2022,"


","
 
","
 
","
 
"
"
                                                                807 
                                                            ",HEAVENS GREEN CITY,"
PCGRERA151018000805
",HEMANT JIVNANI,MANUHAR SALES AGENCIES PVT. LTD.,Plotted Development,BILASPUR,BILHA,15 Oct 2018,"
                                                                31 Dec 2022
                                                            ",30 Sep 2023,"


","
 
","
 
","
 
"
"
                                                                808 
                                                            ",HARSH PRIDE (PHASE-I),"
 **
PCGRERA151018000806
",CHANDRA PRAKASH SAHU,ABHISHEK BUILDCON,Plotted Development,RAIPUR,RAIPUR,15 Oct 2018,"
                                                                31 Dec 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                809 
                                                            ",VASTU SHIKHAR,"
PCGRERA151018000807
",SUSHITAL FOUZDAR,VASTUBHOOMI REAL ESTATE (I) PVT. LTD.,Group Housing,BILASPUR,TAKHATPUR,15 Oct 2018,"
                                                                25 Dec 2019
                                                            ",07 Dec 2022,"


","
 
","
 
","
 
"
"
                                                                810 
                                                            ",SHYAMA VIHAR,"
PCGRERA151018000808
",PRIYESH CHOUKSEY,SHYAMA CONSTRUCTIONS,Plotted Development,BILASPUR,BILASPUR,15 Oct 2018,"
                                                                30 Apr 2023
                                                            ",30 Jan 2024,"


","
 
","
 
","
 
"
"
                                                                811 
                                                            ",OM SAI RAM HEIGHTS,"
 **
PCGRERA151018000809
",KAILASH AGRAWAL,SADGURU DEVELOPERS,Mixed Development,RAIGARH,RAIGARH,15 Oct 2018,"
                                                                31 Dec 2020
                                                            ",30 Jun 2021,"


","
 
","
 
","
 
"
"
                                                                812 
                                                            ",KALP GAURAV APARTMENT,"
PCGRERA151018000810
",ASHOK NARAYAN SINGH,KALPTARU CONSTRUCTION PVT. LTD.,Group Housing,DURG,PATAN,15 Oct 2018,"
                                                                30 Jun 2024
                                                            ",30 Mar 2025,"


","
 
","
 
","
 
"
"
                                                                813 
                                                            ",MAA BHAGWATI NAGAR,"
PCGRERA151018000811
",MITHOO LAL MODI,MITHOO LAL MODI,Plotted Development,JANJGIR CHAMPA,CHAMPA,15 Oct 2018,"
                                                                31 Dec 2023
                                                            ",30 Sep 2024,"


","
 
","
 
","
 
"
"
                                                                814 
                                                            ",SAI VISTA,"
 **
PCGRERA151018000812
",SUNIL AHUJA,SRV VENTURES,Group Housing,RAIPUR,RAIPUR,15 Oct 2018,"
                                                                31 Dec 2020
                                                            ",30 Jun 2021,"


","
 
","
 
","
 
"
"
                                                                815 
                                                            ",VARGHESE WINGS,"
PCGRERA161018000813
",SAJI VARGHESE,VARGHESE BUILDERS,Mixed Development,BASTAR,JAGDALPUR,16 Oct 2018,"
                                                                31 Mar 2023
                                                            ",30 Dec 2023,"


","
 
","
 
","
 
"
"
                                                                816 
                                                            ",SHRI RAM INFRA,"
 **
PCGRERA161018000814
",SUNIL KUMAR AGRAWAL,SHRI RAM INFRA,Plotted Development,BILASPUR,BILHA,16 Oct 2018,"
                                                                31 Mar 2020
                                                            ",30 Sep 2020,"


","
 
","
 
","
 
"
"
                                                                817 
                                                            ",SHRI RAM INFRA,"
PCGRERA161018000815
",SUNIL KUMAR AGRAWAL,SHRI RAM INFRA,Plotted Development,BILASPUR,TAKHATPUR,16 Oct 2018,"
                                                                31 Mar 2020
                                                            ",30 Sep 2020,"


","
 Expired
","
 
","
 
"
"
                                                                818 
                                                            ",PRATISTHA,"
PCGRERA161018000816
",ANAND SARAF,S S INFRASTRUCTURE,Plotted Development,BALODABAZAR,BALODABAZAR,16 Oct 2018,"
                                                                31 Mar 2020
                                                            ",30 Sep 2020,"


","
 Expired
","
 
","
 
"
"
                                                                819 
                                                            ",OFFICER PARK,"
PCGRERA161018000817
",HEMANT LUNKAD,OFFICERS PARK,Plotted Development,RAIPUR,RAIPUR,16 Oct 2018,"
                                                                30 Sep 2023
                                                            ",30 Jun 2024,"


","
 
","
 
","
 
"
"
                                                                820 
                                                            ",RAMESHWARAM,"
PCGRERA221018000818
",RUPENDRA BAIS,RUPENDRA BAIS,Plotted Development,KANKER,KANKER,22 Oct 2018,"
                                                                31 May 2022
                                                            ",30 Nov 2022,"


","
 
","
 
","
 
"
"
                                                                821 
                                                            ",PREM PRAKASH BUILDCON,"
 **
PCGRERA221018000819
",PUSHPA BAI ROHRA,PREMPRAKASH BUILDCON,Plotted Development,DHAMTARI,DHAMTARI,22 Oct 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                822 
                                                            ",SVOJAS HEIGHTS,"
 **
PCGRERA221018000820
",GANESH PRASAD KHETAN,GANESH PRASAD KHETAN,Mixed Development,RAIPUR,RAIPUR,22 Oct 2018,"
                                                                30 Jun 2021
                                                            ",30 Dec 2021,"


","
 
","
 
","
"
"
                                                                823 
                                                            ",RAJENDRA NAGAR GRIHA NIRMAN SAHKARI SAMITI MYDT,"
PCGRERA221018000821
",SHYAM BIHARI MALVIYA,"PRESIDENT, RAJENDRA NAGAR GRIHA NIRMAN SAMITI MARYADIT",Plotted Development,BASTAR,JAGDALPUR,22 Oct 2018,"
                                                                31 Dec 2021
                                                            ",30 Sep 2022,"


","
 
","
 
","
 
"
"
                                                                824 
                                                            ",HAPPY HOMES,"
 **
PCGRERA221018000822
",MOHAMMED INAMULLAH,DAMODAR PARK,Plotted Development,RAIPUR,RAIPUR,22 Oct 2018,"
                                                                30 Jun 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                825 
                                                            ",GULMOHAR PARK,"
PCGRERA231018000823
",SAYYED SAJID ALI,SHAHID BHAGAT SINGH NAGAR GRIH NIRMAN SAHKARI SAMITI MYDT,Plotted Development,RAIPUR,RAIPUR,23 Oct 2018,"
                                                                31 Jul 2021
                                                            ",30 Apr 2022,"


","
 Expired
","
 
","
 
"
"
                                                                826 
                                                            ",A B CASTLE,"
 **
PCGRERA251018000824
",RAJESH BAJPAI,SIDDHI VINAYAKA ENTERPRISES PVT LTD,Group Housing,BILASPUR,TAKHATPUR,25 Oct 2018,"
                                                                31 May 2023
                                                            ",30 Nov 2023,"


","
 
","
 
","
"
"
                                                                827 
                                                            ",ANANTRA HOMES PHASE 2,"
PCGRERA251018000825
",SURENDRA TIWARI,TIWARI REALTY AND DEVELOPERS,Group Housing,RAIPUR,RAIPUR,25 Oct 2018,"
                                                                30 Sep 2023
                                                            ",30 Jun 2024,"


","
 
","
 
","
 
"
"
                                                                828 
                                                            ",SURYODAYA HARMONY,"
 **
PCGRERA261018000826
",MANOJ PATEL,SURYODAYA BUILDERS,Group Housing,RAIPUR,RAIPUR,26 Oct 2018,"
                                                                29 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                829 
                                                            ",BAJPAI EMGREENS,"
 **
PCGRERA271018000827
",RAKESH BAJPAI,RAKESH BAJPAI,Mixed Development,BASTAR,JAGDALPUR,27 Oct 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                830 
                                                            ",NORTH AVENUE CHAMBER,"
PCGRERA271018000828
",DEEPAK KHANDELWAL,K V CONSTRUCTION,Commercial,BILASPUR,TAKHATPUR,27 Oct 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                831 
                                                            ",DEEPTI VIHAR COLONY PHASE-I,"
PCGRERA271018000829
",PARWATI BANJARE,DEEPTI BUILDERS AND COLONIZER,Group Housing,JANJGIR CHAMPA,JANJGIR,27 Oct 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                832 
                                                            ",PARTHIVI PACIFIC-ROYAL WOODS,"
PCGRERA291018000830
",SANJAY BAGHEL,PARTHIVI CONSTRUCTIONS PVT. LTD.,Group Housing,RAIPUR,RAIPUR,29 Oct 2018,"
                                                                31 Dec 2022
                                                            ",30 Sep 2023,"


","
 
","
 
","
 
"
"
                                                                833 
                                                            ",CITY HEART KAILASHPURI,"
 **
PCGRERA291018000831
",NILESH AGRAWAL,FRIENDS CONSTRUCTION,Group Housing,RAIPUR,RAIPUR,29 Oct 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 
","
 
","
"
"
                                                                834 
                                                            ",RISHABH NAGAR PHASE -III,"
 **
PCGRERA021118000832
",BASANT KUMAR JAIN,RISHABH BUILDERS,Plotted Development,DURG,DURG,02 Nov 2018,"
                                                                30 Nov 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                835 
                                                            ",SHREE RAM ALLIANCE,"
PCGRERA021118000833
",ALOK KUMAR SWARNKAR,SHREE RAM ALLIANCE,Plotted Development,BILASPUR,BILASPUR,02 Nov 2018,"
                                                                30 Dec 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                836 
                                                            ",RIDDHI SIDDHI L SERIES,"
 **
P3CGRERA021118000012
",VINOD KUMAR BOHRA,MAHAVIR ASSOCIATES,Group Housing,RAJNANDGAON,RAJNANDGAON,02 Nov 2018,"
                                                                14 Mar 2021
                                                            ",14 Sep 2021,"


","
 
","
 
","
 
"
"
                                                                837 
                                                            ",SURYA TOWER 11,"
 **
PCGRERA051118000834
",SANJEEV AGRAWAL,BILTECH ENGINEERS PRIVATE LIMITED,Group Housing,DURG,DURG,05 Nov 2018,"
                                                                30 Apr 2019
                                                            ",-,"


","
 
","
 
","
"
"
                                                                838 
                                                            ",PRATISHTHA HEIGHTS,"
 **
PCGRERA051118000835
",SURESH KUMAR PODDAR,SHREE HANS INGOT PVT. LTD.,Group Housing,RAIGARH,RAIGARH,05 Nov 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                839 
                                                            ",SAMTA PARISAR,"
 **
PCGRERA131118000836
",LALIT KUMAR CHOPDA,M/S SAMTA PARISAR,Group Housing,RAIPUR,RAIPUR,13 Nov 2018,"
                                                                30 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                840 
                                                            ",AAKAR AVENUE,"
PCGRERA131118000837
",ANAND SHARMA,LITTLESTAR VINIMAY PVT. LTD.,Plotted Development,RAIPUR,ARANG,13 Nov 2018,"
                                                                31 May 2021
                                                            ",28 Feb 2022,"


","
 Expired
","
 
","
 
"
"
                                                                841 
                                                            ",SHREE OM HEIGHTS,"
PCGRERA131118000838
",GOPAL PRASAD AGRAWAL,SHREE OM SRISHTI DEVELOPERS,Group Housing,RAIGARH,RAIGARH,13 Nov 2018,"
                                                                30 Sep 2021
                                                            ",30 Jun 2022,"


","
 Expired
","
 
","
 
"
"
                                                                842 
                                                            ",SUKOON,"
PCGRERA131118000839
",INDERJEET SINGH SALUJA,INDERJEET SINGH SALUJA,Group Housing,BILASPUR,BILASPUR,13 Nov 2018,"
                                                                30 Aug 2022
                                                            ",28 May 2023,"


","
 
","
 
","
 
"
"
                                                                843 
                                                            ",SHREE KRISHNA VIHAR PHASE -II,"
PCGRERA131118000840
",LALIT RATHI,SHREE KRISHNA DEVELOPERS,Group Housing,BEMETARA,BEMETARA,13 Nov 2018,"
                                                                31 Dec 2025
                                                            ",30 Sep 2026,"


","
 
","
 
","
 
"
"
                                                                844 
                                                            ",MAHALAXMI INN,"
 **
PCGRERA131118000841
",MADAN LOONAWAT,MAHALAXMI BUILDCON,Plotted Development,DHAMTARI,DHAMTARI,13 Nov 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 
","
 
","
"
"
                                                                845 
                                                            ",KALINDI-KUNJ PRIDE,"
PCGRERA131118000842
",BAJRANGLAL JINDAL,K L REAL ESTATE PVT. LTD.,Plotted Development,RAIGARH,RAIGARH,13 Nov 2018,"
                                                                21 Oct 2021
                                                            ",21 Jul 2022,"


","
 
","
 
","
 
"
"
                                                                846 
                                                            ",RAHEJA HOMES,"
PCGRERA131118000843
",SANJAY RAHEJA,SHUBH REALTIES,Plotted Development,RAIPUR,RAIPUR,13 Nov 2018,"
                                                                31 Oct 2021
                                                            ",30 Jul 2022,"


","
 
","
 
","
 
"
"
                                                                847 
                                                            ",AAMANORA VILLA,"
 **
PCGRERA141118000844
",SUDHA GUPTA,SUDHA GUPTA,Plotted Development,BILASPUR,BILASPUR,14 Nov 2018,"
                                                                31 Dec 2020
                                                            ",30 Jun 2021,"


","
 
","
 
","
 
"
"
                                                                848 
                                                            ","VIP CITY, SECTOR- 05 -A","
PCGRERA141118000845
",RAKESH PANDEY,RAKESH PANDEY,Plotted Development,RAIPUR,RAIPUR,14 Nov 2018,"
                                                                31 Mar 2025
                                                            ",30 Dec 2025,"


","
 
","
 
","
 
"
"
                                                                849 
                                                            ",SAI VATIKA,"
 **
PCGRERA141118000846
",AKASH RUPETA,AKASH RUPETA,Plotted Development,RAIGARH,RAIGARH,14 Nov 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                850 
                                                            ",HARSHIT HARMONY PHASE -II,"
P3CGRERA161118000013
",SUBODH SINGHANIA,SINGHANIA BUILDCON PVT. LTD.,Group Housing,RAIPUR,DHARSIWA,16 Nov 2018,"
                                                                31 May 2022
                                                            ",28 Feb 2023,"


","
 
","
 
","
 
"
"
                                                                851 
                                                            ",MAA BUILDER AND DEVELOPERS,"
PCGRERA221118000847
",SUNIL SINGH,MAA BUILDERS AND DEVELOPERS,Plotted Development,JANJGIR CHAMPA,NAWAGARH,22 Nov 2018,"
                                                                15 Sep 2021
                                                            ",15 Jun 2022,"


","
 Expired
","
 
","
 
"
"
                                                                852 
                                                            ",SAI VIHAR,"
 **
PCGRERA261118000848
",GHANSHYAM PATEL,GHANSHYAM PATEL & YUGAL KISHORE PATEL,Plotted Development,RAIGARH,RAIGARH,26 Nov 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                853 
                                                            ",SAI VATIKA,"
 **
PCGRERA261118000849
",SURESH ROHDA,SURESH ROHDA,Plotted Development,RAIGARH,RAIGARH,26 Nov 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                854 
                                                            ",SAI NIWAS,"
 **
PCGRERA261118000850
",SATISH AGRAWAL,HIND ENERGY AND COAL BENEFICATION (INDIA) LIMITED,Group Housing,KORBA,KATGHORA,26 Nov 2018,"
                                                                31 Mar 2019
                                                            ",-,"


","
 
","
 
","
"
"
                                                                855 
                                                            ",SHIVA ENCLAVE,"
PCGRERA271118000851
",HARIVALLABH AGRAWAL,MAHAMAYA CONSTRUCTION,Plotted Development,RAIPUR,RAIPUR,27 Nov 2018,"
                                                                31 Oct 2021
                                                            ",30 Jul 2022,"


","
 
","
 
","
 
"
"
                                                                856 
                                                            ",SHIVAM ENCLAVE,"
PCGRERA281118000852
",DWARIKA DAS BAJAJ,M/S SWASTIK REALITY,Group Housing,BILASPUR,BILASPUR,28 Nov 2018,"
                                                                31 Dec 2020
                                                            ",30 Sep 2021,"


","
 Expired
","
 
","
 
"
"
                                                                857 
                                                            ",NAMO ENCLAVE,"
 **
PCGRERA281118000853
",YOGESH AGRAWAL,SHREE VISHWABHARTI BUILDCON,Group Housing,RAIPUR,RAIPUR,28 Nov 2018,"
                                                                31 Dec 2019
                                                            ",-,"


","
 
","
 
","
"
"
                                                                858 
                                                            ",SHANTI RESIDENCY,"
 **
PCGRERA281118000854
",ABHISHEK AGRAWAL,SHANNO BUSINESS INDIA PVT. LTD.,Group Housing,RAIPUR,RAIPUR,28 Nov 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                859 
                                                            ",CENTRAL PLAZA,"
 **
PCGRERA281118000855
",AMIT AHUJA,MARS REALTECH (INDIA) PVT. LTD.,Commercial,RAIPUR,RAIPUR,28 Nov 2018,"
                                                                31 Dec 2018
                                                            ",-,"


","
 
","
 
","
"
"
                                                                860 
                                                            ",SHRI SAI CITY (PHASE-3),"
PCGRERA281118000856
",SHARAD AGRAWAL,SHRI SAI CITY,Plotted Development,DURG,DURG,28 Nov 2018,"
                                                                14 Nov 2023
                                                            ",14 Aug 2024,"


","
 
","
 
","
 
"
"
                                                                861 
                                                            ",TIRUPATI BUILDERS,"
 **
PCGRERA281118000857
",MURLIDHAR AGRAWAL,TIRUPATI BUILDERS,Group Housing,RAIGARH,KHARSIA,28 Nov 2018,"
                                                                30 Dec 2020
                                                            ",30 Jun 2021,"


","
 
","
 
","
 
"
"
                                                                862 
                                                            ",ASK CITY (SOAN PAIRI),"
PCGRERA281118000858
",ANURAG NATHANI,ASK BHOOMI DEVELOPERS PVT. LTD.,Group Housing,RAIPUR,ABHANPUR,28 Nov 2018,"
                                                                31 Dec 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                863 
                                                            ",JAINAM HEIGHTS,"
PCGRERA281118000859
",BASANT KUMAR JAIN,KESHRI BUILDERS,Group Housing,DURG,DURG,28 Nov 2018,"
                                                                30 Jun 2020
                                                            ",30 Dec 2020,"


","
 Expired
","
 
","
 
"
"
                                                                864 
                                                            ",CITY CENTER,"
 **
PCGRERA301118000860
",ASHOK KUMAR AGRAWAL,BILASPUR INFRASTRUCTURE PRIVATE LIMITED,Mixed Development,BILASPUR,BILASPUR,30 Nov 2018,"
                                                                31 Jul 2022
                                                            ",31 Jan 2023,"


","
 
","
 
","
 
"
"
                                                                865 
                                                            ",DEVGHAR APPARTMENT,"
PCGRERA301118000861
",GOPAL PRASAD AGRAWAL,SAIRAM BUILDERS,Group Housing,RAIGARH,RAIGARH,30 Nov 2018,"
                                                                31 Dec 2019
                                                            ",-,"


","
 Expired
","
 
","
 
"
"
                                                                866 
                                                            ",SRISHTI RESIDENCY,"
 **
PCGRERA011218000862
",SUDHIR AGRAWAL,SUDHIR AGRAWAL,Plotted Development,BALODABAZAR,BALODABAZAR,01 Dec 2018,"
                                                                31 Jul 2019
                                                            ",-,"


","
 
","
 
","
 
"
"
                                                                867 
                                                            ",GULZAR HOMES,"
 **
PCGRERA011218000863
",HAJI SHAFIQUE AHMED KHAN,AVIVA CONSTRUCTIONS,Plotted Development,RAIPUR,RAIPUR,01 Dec 2018,"
                                                                31 Mar 2022
                                                            ",30 Sep 2022,"


","
 
","
 
","
 
"
"
                                                                868 
                                                            ",SHIVA RESIDENCY PHASE - A-1,"
 **
PCGRERA041218000864
",MURLIDHAR KEWLANI,SHIVA HOMES,Group Housing,RAIPUR,RAIPUR,04 Dec 2018,"
                                                                18 Jul 2023
                                                            ",18 Jan 2024,"


","
 
","
 
","
 
"
